Canton,WeekNumber,Start_date,End_date,Restaurant_cat,Bar_cat,Nightclubs_cat,Retail_cat,BarbersSalonSpa_cat,EntertainmentTheaters_cat,Schools_cat,MaskInShop_cat,TravelRestrictions_cat,TourismPotential,TourismPotential_cat,Restaurant_shap,Bar_shap,Nightclubs_shap,Retail_shap,BarbersSalonSpa_shap,EntertainmentTheaters_shap,Schools_shap,MaskInShop_shap,TravelRestrictions_shap,TourismPotential_shap,Total_cases,Active_infection,Daily_Infection,Daily/Active_observed,Daily/Active_XGBoost,Max,Min,AbsMax
AG,11,March9_2020,March15_2020,5,3,3,2,2,3,3,0,0,726,15,0.6162356914,0.4040721468,0.080248497,-0.0094513566,-0.0020640802,0.0120689968,0.0059723538,0.012250854,-0.033492207,0.0187901028,24.5714,29.2857,2.85714,3.021592,1.9969490772,Restaurant,TravelRestrictions,Restaurant
AG,12,March16_2020,March22_2020,0,0,0,0,0,0,0,0,0,726,15,-0.0487692156,-0.0261552074,-0.0788453358,0.0353241518,0.0156501422,-0.0155156372,-0.00018235,0.00461083,-0.0443098362,0.0117447652,129.429,146.143,28.5714,0.8386784,0.8318602446,Retail,Nightclubs,Nightclubs
AG,13,March23_2020,March29_2020,0,0,0,0,0,0,0,0,0,726,15,-0.0487692156,-0.0261552074,-0.0788453358,0.0353241518,0.0156501422,-0.0155156372,-0.00018235,0.00461083,-0.0443098362,0.0117447652,323.857,328.143,18.8571,1.169238,0.8318602446,Retail,Nightclubs,Nightclubs
AG,14,March30_2020,April5_2020,0,0,0,0,0,0,0,0,0,726,15,-0.0487692156,-0.0261552074,-0.0788453358,0.0353241518,0.0156501422,-0.0155156372,-0.00018235,0.00461083,-0.0443098362,0.0117447652,571.286,450,37.4286,1.1203878,0.8318602446,Retail,Nightclubs,Nightclubs
AG,15,April6_2020,April12_2020,0,0,0,0,0,0,0,0,0,726,15,-0.0487692156,-0.0261552074,-0.0788453358,0.0353241518,0.0156501422,-0.0155156372,-0.00018235,0.00461083,-0.0443098362,0.0117447652,817.714,485.143,39,0.595875,0.8318602446,Retail,Nightclubs,Nightclubs
AG,16,April13_2020,April19_2020,0,0,0,0,0,0,0,0,0,726,15,-0.0487692156,-0.0261552074,-0.0788453358,0.0353241518,0.0156501422,-0.0155156372,-0.00018235,0.00461083,-0.0443098362,0.0117447652,948.571,357.286,14.8571,0.4771018,0.8318602446,Retail,Nightclubs,Nightclubs
AG,17,April20_2020,April26_2020,0,0,0,0,0,0,0,0,0,726,15,-0.0487692156,-0.0261552074,-0.0788453358,0.0353241518,0.0156501422,-0.0155156372,-0.00018235,0.00461083,-0.0443098362,0.0117447652,1035.43,203,7,0.953974,0.8318602446,Retail,Nightclubs,Nightclubs
AG,18,April27_2020,May3_2020,0,0,0,1,1,0,0,0,0,726,15,-0.0542895892,-0.0281966384,-0.0905113216,-0.0230572258,-0.0085971284,-0.0164284694,-0.0003259253,0.0040588716,-0.0467016466,0.0190470378,1109.29,152.286,11,0.5043822,0.7589113112,TourismPotential,Nightclubs,Nightclubs
AG,19,May4_2020,May10_2020,0,0,0,1,1,0,0,0,0,726,15,-0.0542895892,-0.0281966384,-0.0905113216,-0.0230572258,-0.0085971284,-0.0164284694,-0.0003259253,0.0040588716,-0.0467016466,0.0190470378,1147.43,105.571,3.85714,0.7463498,0.7589113112,TourismPotential,Nightclubs,Nightclubs
AG,20,May11_2020,May17_2020,2,1,0,2,1,1,0,0,0,726,15,-0.0549730832,-0.0285019616,-0.0905113216,-0.0231630308,-0.00860125,-0.0164284694,-0.0003433061,0.0042827792,-0.0467291314,0.0206771852,1175.29,62.4286,3.57143,0.6652114,0.7589113112,TourismPotential,Nightclubs,Nightclubs
AG,21,May18_2020,May24_2020,2,1,0,2,1,1,0,0,0,726,15,-0.0549730832,-0.0285019616,-0.0905113216,-0.0231630308,-0.00860125,-0.0164284694,-0.0003433061,0.0042827792,-0.0467291314,0.0206771852,1195.57,45.2857,2.42857,0.827183,0.7589113112,TourismPotential,Nightclubs,Nightclubs
AG,22,May25_2020,May31_2020,2,1,0,2,1,1,0,0,0,726,15,-0.0549730832,-0.0285019616,-0.0905113216,-0.0231630308,-0.00860125,-0.0164284694,-0.0003433061,0.0042827792,-0.0467291314,0.0206771852,1205,28.5714,1.71429,0.6555556,0.7589113112,TourismPotential,Nightclubs,Nightclubs
AG,23,June1_2020,June7_2020,3,1,2,2,1,2,0,0,0,726,15,-0.015757511,-0.0285048372,0.0746571462,-0.0124353012,-0.0052169124,0.0118576654,0.0005934554,0.011718798,-0.0461538364,0.0236987982,1214.86,18.4286,0.857143,1.3003956,1.0726701622,Nightclubs,TravelRestrictions,Nightclubs
AG,24,June8_2020,June14_2020,3,1,2,2,1,2,0,0,0,726,15,-0.015757511,-0.0285048372,0.0746571462,-0.0124353012,-0.0052169124,0.0118576654,0.0005934554,0.011718798,-0.0461538364,0.0236987982,1222.86,17.5714,1.57143,0.9509808,1.0726701622,Nightclubs,TravelRestrictions,Nightclubs
AG,25,June15_2020,June21_2020,3,1,2,2,1,2,0,0,1,726,15,-0.0125149892,-0.0267110592,0.0747121284,-0.0108847368,-0.004216632,0.0118576654,0.0007264998,0.0143284666,0.1408931398,0.0214450866,1233.43,19.4286,1.28571,1.753668,1.2068145866,TravelRestrictions,Bar,TravelRestrictions
AG,26,June22_2020,June28_2020,4,2,2,2,1,2,0,0,1,726,15,0.0054583984,0.0050858822,0.0747121284,-0.0089495952,-0.0040085108,0.0118576654,0.0009464449,0.0165456816,0.131641384,0.0219267972,1253.14,33.8571,3.85714,1.636054,1.2467057708,TravelRestrictions,Retail,TravelRestrictions
AG,27,June29_2020,July5_2020,4,2,2,2,1,2,0,0,1,726,15,0.0054583984,0.0050858822,0.0747121284,-0.0089495952,-0.0040085108,0.0118576654,0.0009464449,0.0165456816,0.131641384,0.0219267972,1317.57,92.1429,10,0.7940814,1.2467057708,TravelRestrictions,Retail,TravelRestrictions
AG,28,July6_2020,July12_2020,3,1,1,2,1,2,0,1,1,726,15,-0.0132612606,-0.0257216344,0.0190888824,-0.0106213394,-0.004325622,0.0114524494,0.0005336015,-0.0044670682,0.136326484,0.0198402218,1365.43,115,6.42857,1.3010382,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,29,July13_2020,July19_2020,3,1,1,2,1,2,0,1,1,726,15,-0.0132612606,-0.0257216344,0.0190888824,-0.0106213394,-0.004325622,0.0114524494,0.0005336015,-0.0044670682,0.136326484,0.0198402218,1435,117.571,10.7143,1.0256176,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,30,July20_2020,July26_2020,3,1,1,2,1,2,0,1,1,726,15,-0.0132612606,-0.0257216344,0.0190888824,-0.0106213394,-0.004325622,0.0114524494,0.0005336015,-0.0044670682,0.136326484,0.0198402218,1505,141.286,10.2857,1.2311012,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,31,July27_2020,August2_2020,3,1,1,2,1,2,0,1,1,726,15,-0.0132612606,-0.0257216344,0.0190888824,-0.0106213394,-0.004325622,0.0114524494,0.0005336015,-0.0044670682,0.136326484,0.0198402218,1580.86,148,12.8571,0.951909,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,32,August3_2020,August9_2020,3,1,1,2,1,2,0,1,1,726,15,-0.0132612606,-0.0257216344,0.0190888824,-0.0106213394,-0.004325622,0.0114524494,0.0005336015,-0.0044670682,0.136326484,0.0198402218,1661.57,158.143,10.7143,1.3175624,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,33,August10_2020,August16_2020,3,1,1,2,1,2,1,1,1,726,15,-0.0135756474,-0.0255959732,0.0186668006,-0.0106213394,-0.004325622,0.0114524494,-0.0012111629,-0.004508168,0.1334096372,0.0187764934,1765,190.143,17.8571,1.1140052,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,34,August17_2020,August23_2020,3,1,1,2,1,2,1,1,1,726,15,-0.0135756474,-0.0255959732,0.0186668006,-0.0106213394,-0.004325622,0.0114524494,-0.0012111629,-0.004508168,0.1334096372,0.0187764934,1892,238,18.8571,1.1095252,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,35,August24_2020,August30_2020,3,1,1,2,1,2,1,1,1,726,15,-0.0135756474,-0.0255959732,0.0186668006,-0.0106213394,-0.004325622,0.0114524494,-0.0012111629,-0.004508168,0.1334096372,0.0187764934,2038.29,277.143,22,0.8859116,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AG,36,August31_2020,September6_2020,3,1,1,2,1,2,1,1,1,726,15,-0.0135756474,-0.0255959732,0.0186668006,-0.0106213394,-0.004325622,0.0114524494,-0.0012111629,-0.004508168,0.1334096372,0.0187764934,2171.14,279.143,17.7143,1.0595662,1.0797798032,TravelRestrictions,Bar,TravelRestrictions
AI,11,March9_2020,March15_2020,5,3,3,2,2,3,3,0,0,160,4,0.6294253966,0.4100983194,0.077801591,-0.0145105968,-0.0034295744,0.0116233684,0.0111398714,0.0100911454,-0.0360287004,-0.0862343384,0.571429,1.14286,0.285714,1.533336,1.9382052424,Restaurant,TourismPotential,Restaurant
AI,12,March16_2020,March22_2020,0,0,0,0,0,0,0,0,0,160,4,-0.0446646606,-0.0258208818,-0.074871769,0.0566927732,0.0226857904,-0.0149066778,-0.0006545658,0.0039898404,-0.0459632068,-0.069057618,5.42857,5.71429,0.571429,1.3232324,0.767291427,Retail,Nightclubs,Nightclubs
AI,13,March23_2020,March29_2020,0,0,0,0,0,0,0,0,0,160,4,-0.0446646606,-0.0258208818,-0.074871769,0.0566927732,0.0226857904,-0.0149066778,-0.0006545658,0.0039898404,-0.0459632068,-0.069057618,10.2857,10.2857,1,1.2126968,0.767291427,Retail,Nightclubs,Nightclubs
AI,14,March30_2020,April5_2020,0,0,0,0,0,0,0,0,0,160,4,-0.0446646606,-0.0258208818,-0.074871769,0.0566927732,0.0226857904,-0.0149066778,-0.0006545658,0.0039898404,-0.0459632068,-0.069057618,17.7143,13,1.14286,0.4743592,0.767291427,Retail,Nightclubs,Nightclubs
AI,15,April6_2020,April12_2020,0,0,0,0,0,0,0,0,0,160,4,-0.0446646606,-0.0258208818,-0.074871769,0.0566927732,0.0226857904,-0.0149066778,-0.0006545658,0.0039898404,-0.0459632068,-0.069057618,23,12,0.428571,0,0.767291427,Retail,Nightclubs,Nightclubs
AI,16,April13_2020,April19_2020,0,0,0,0,0,0,0,0,0,160,4,-0.0446646606,-0.0258208818,-0.074871769,0.0566927732,0.0226857904,-0.0149066778,-0.0006545658,0.0039898404,-0.0459632068,-0.069057618,24,5.28571,0,1.999998,0.767291427,Retail,Nightclubs,Nightclubs
AI,17,April20_2020,April26_2020,0,0,0,0,0,0,0,0,0,160,4,-0.0446646606,-0.0258208818,-0.074871769,0.0566927732,0.0226857904,-0.0149066778,-0.0006545658,0.0039898404,-0.0459632068,-0.069057618,24.5714,1.28571,0.142857,0,0.767291427,Retail,Nightclubs,Nightclubs
AI,18,April27_2020,May3_2020,0,0,0,1,1,0,0,0,0,160,4,-0.0504736652,-0.027845321,-0.0865377534,-0.029389913,-0.0108261384,-0.01581951,-0.0008989603,0.0033487734,-0.0501562138,-0.0987213066,25,1,0,0,0.628130615,MaskInShop,TourismPotential,TourismPotential
AI,19,May4_2020,May10_2020,0,0,0,1,1,0,0,0,0,160,4,-0.0504736652,-0.027845321,-0.0865377534,-0.029389913,-0.0108261384,-0.01581951,-0.0008989603,0.0033487734,-0.0501562138,-0.0987213066,25,0.285714,0,0,0.628130615,MaskInShop,TourismPotential,TourismPotential
AI,20,May11_2020,May17_2020,2,1,0,2,1,1,0,0,0,160,4,-0.0556996468,-0.0291954278,-0.0865377534,-0.0298125352,-0.0108522442,-0.01581951,-0.0010190925,0.0034125238,-0.0503493354,-0.1029235018,25,0,0,0,0.628130615,MaskInShop,TourismPotential,TourismPotential
AI,21,May18_2020,May24_2020,2,1,0,2,1,1,0,0,0,160,4,-0.0556996468,-0.0291954278,-0.0865377534,-0.0298125352,-0.0108522442,-0.01581951,-0.0010190925,0.0034125238,-0.0503493354,-0.1029235018,25,0,0,0,0.628130615,MaskInShop,TourismPotential,TourismPotential
AI,22,May25_2020,May31_2020,2,1,0,2,1,1,0,0,0,160,4,-0.0556996468,-0.0291954278,-0.0865377534,-0.0298125352,-0.0108522442,-0.01581951,-0.0010190925,0.0034125238,-0.0503493354,-0.1029235018,25,0,0,0,0.628130615,MaskInShop,TourismPotential,TourismPotential
AI,23,June1_2020,June7_2020,3,1,2,2,1,2,0,0,0,160,4,-0.0194541326,-0.0291983034,0.0711850776,-0.0190848042,-0.0074679052,0.011412037,-0.000620888,0.0088959836,-0.0499323146,-0.111301575,25,0,0,0,0.935472846,Nightclubs,TourismPotential,TourismPotential
AI,24,June8_2020,June14_2020,3,1,2,2,1,2,0,0,0,160,4,-0.0194541326,-0.0291983034,0.0711850776,-0.0190848042,-0.0074679052,0.011412037,-0.000620888,0.0088959836,-0.0499323146,-0.111301575,25,0,0,0,0.935472846,Nightclubs,TourismPotential,TourismPotential
AI,25,June15_2020,June21_2020,3,1,2,2,1,2,0,0,0,160,4,-0.0194541326,-0.0291983034,0.0711850776,-0.0190848042,-0.0074679052,0.011412037,-0.000620888,0.0088959836,-0.0499323146,-0.111301575,25,0,0,0,0.935472846,Nightclubs,TourismPotential,TourismPotential
AI,26,June22_2020,June28_2020,4,2,2,2,1,2,0,0,0,160,4,0.007384342,0.0054651492,0.0711850776,-0.0166053566,-0.0069892774,0.011412037,-0.0003170961,0.0114059904,-0.0479668168,-0.1100509228,25,0,0,0,0.987494648,Nightclubs,TourismPotential,TourismPotential
AI,27,June29_2020,July5_2020,4,2,2,2,1,2,0,0,0,160,4,0.007384342,0.0054651492,0.0711850776,-0.0166053566,-0.0069892774,0.011412037,-0.0003170961,0.0114059904,-0.0479668168,-0.1100509228,25,0,0,0,0.987494648,Nightclubs,TourismPotential,TourismPotential
AI,28,July6_2020,July12_2020,4,2,2,2,1,2,0,1,0,160,4,0.0031759392,0.0037154754,0.068082952,-0.0163969414,-0.0069139336,0.0111130124,-0.0003113629,-0.0058014768,-0.047083519,-0.1064770882,25,0,0,0,0.952673673,Nightclubs,TourismPotential,TourismPotential
AI,29,July13_2020,July19_2020,4,2,2,2,1,2,0,1,0,160,4,0.0031759392,0.0037154754,0.068082952,-0.0163969414,-0.0069139336,0.0111130124,-0.0003113629,-0.0058014768,-0.047083519,-0.1064770882,25,0,0,0,0.952673673,Nightclubs,TourismPotential,TourismPotential
AI,30,July20_2020,July26_2020,4,2,2,2,1,2,0,1,0,160,4,0.0031759392,0.0037154754,0.068082952,-0.0163969414,-0.0069139336,0.0111130124,-0.0003113629,-0.0058014768,-0.047083519,-0.1064770882,25,0,0,0,0.952673673,Nightclubs,TourismPotential,TourismPotential
AI,31,July27_2020,August2_2020,4,2,2,2,1,2,0,1,0,160,4,0.0031759392,0.0037154754,0.068082952,-0.0163969414,-0.0069139336,0.0111130124,-0.0003113629,-0.0058014768,-0.047083519,-0.1064770882,25,0,0,0,0.952673673,Nightclubs,TourismPotential,TourismPotential
AI,32,August3_2020,August9_2020,4,2,2,2,1,2,0,1,0,160,4,0.0031759392,0.0037154754,0.068082952,-0.0163969414,-0.0069139336,0.0111130124,-0.0003113629,-0.0058014768,-0.047083519,-0.1064770882,25,0,0,0,0.952673673,Nightclubs,TourismPotential,TourismPotential
AI,33,August10_2020,August16_2020,4,2,2,2,1,2,0,1,0,160,4,0.0031759392,0.0037154754,0.068082952,-0.0163969414,-0.0069139336,0.0111130124,-0.0003113629,-0.0058014768,-0.047083519,-0.1064770882,25,0,0,0,0.952673673,Nightclubs,TourismPotential,TourismPotential
