Canton,WeekNumber,Start_date,End_date,Restaurant_shap,Bar_shap,Nightclubs_shap,Retail_shap,BarbersSalonSpa_shap,EntertainmentTheaters_shap,Schools_shap,MaskInShop_shap,TravelRestrictions_shap,TourismPotential_shap,Max,Min,AbsMax
AG,11,March9_2020,March15_2020,0.6712087746,0.4325741084,0.1707598186,0.0137116742,0.0065371698,0.0284974662,0.0063156599,0.0079680748,0.0132369244,-0.0018870824,Restaurant,TourismPotential,Restaurant
AG,12,March16_2020,March22_2020,0.0062038676,0.0023467542,0.0116659858,0.0584871826,0.0242513922,0.0009128322,0.0001609561,0.0003280508,0.0024192952,-0.00893242,Retail,TourismPotential,Retail
AG,13,March23_2020,March29_2020,0.0062038676,0.0023467542,0.0116659858,0.0584871826,0.0242513922,0.0009128322,0.0001609561,0.0003280508,0.0024192952,-0.00893242,Retail,TourismPotential,Retail
AG,14,March30_2020,April5_2020,0.0062038676,0.0023467542,0.0116659858,0.0584871826,0.0242513922,0.0009128322,0.0001609561,0.0003280508,0.0024192952,-0.00893242,Retail,TourismPotential,Retail
AG,15,April6_2020,April12_2020,0.0062038676,0.0023467542,0.0116659858,0.0584871826,0.0242513922,0.0009128322,0.0001609561,0.0003280508,0.0024192952,-0.00893242,Retail,TourismPotential,Retail
AG,16,April13_2020,April19_2020,0.0062038676,0.0023467542,0.0116659858,0.0584871826,0.0242513922,0.0009128322,0.0001609561,0.0003280508,0.0024192952,-0.00893242,Retail,TourismPotential,Retail
AG,17,April20_2020,April26_2020,0.0062038676,0.0023467542,0.0116659858,0.0584871826,0.0242513922,0.0009128322,0.0001609561,0.0003280508,0.0024192952,-0.00893242,Retail,TourismPotential,Retail
AG,18,April27_2020,May3_2020,0.000683494,0.0003053232,0,0.000105805,4.12160000000036E-006,0,1.73808E-005,-0.0002239076,2.7484799999998E-005,-0.0016301474,Restaurant,TourismPotential,TourismPotential
AG,19,May4_2020,May10_2020,0.000683494,0.0003053232,0,0.000105805,4.12160000000036E-006,0,1.73808E-005,-0.0002239076,2.7484799999998E-005,-0.0016301474,Restaurant,TourismPotential,TourismPotential
AG,20,May11_2020,May17_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
AG,21,May18_2020,May24_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
AG,22,May25_2020,May31_2020,0,0,0,0,0,0,0,0,0,0,Restaurant,Restaurant,Restaurant
AG,23,June1_2020,June7_2020,0.0392155722,-2.87560000000048E-006,0.1651684678,0.0107277296,0.0033843376,0.0282861348,0.0009367615,0.0074360188,0.000575295,0.003021613,Nightclubs,Bar,Nightclubs
