Canton,WeekNumber,Restaurant,Bar,Nightclubs,Retail,BarbersSalonSpa,EntertainmentTheaters,Schools,MaskInShop,TravelRestrictions,TourismPotential,1_Week_number,Total_cases,Active_infection,Daily_Infection,Daily_cases_by_Active_Avg,Total_death,Daily_death,Death_by_Active_Avg,Daily_cases_by_Active_Avg_NextWeek
AG,11,5,3,3,2,2,3,3,0,0,726,11,24.5714,29.2857,2.85714,0.110423,0,0,0,0.215828
AG,12,0,0,0,0,0,0,0,0,0,726,12,129.429,146.143,28.5714,0.215828,0.428571,0.142857,0.000915751,0.0599056
AG,13,0,0,0,0,0,0,0,0,0,726,13,323.857,328.143,18.8571,0.0599056,2.28571,0.285714,0.000904901,0.083517
AG,14,0,0,0,0,0,0,0,0,0,726,14,571.286,450,37.4286,0.083517,11.1429,1.28571,0.00292199,0.0800277
AG,15,0,0,0,0,0,0,0,0,0,726,15,817.714,485.143,39,0.0800277,16.5714,0.857143,0.00177486,0.0425625
AG,16,0,0,0,0,0,0,0,0,0,726,16,948.571,357.286,14.8571,0.0425625,22.4286,1,0.00276928,0.0340787
AG,17,0,0,0,0,0,0,0,0,0,726,17,1035.43,203,7,0.0340787,30.2857,0.857143,0.00359674,0.068141
AG,18,0,0,0,1,1,0,0,0,0,726,18,1109.29,152.286,11,0.068141,33.4286,0.428571,0.00262128,0.0360273
AG,19,0,0,0,1,1,0,0,0,0,726,19,1147.43,105.571,3.85714,0.0360273,36.5714,0.428571,0.00371857,0.0533107
AG,20,2,1,0,2,1,1,0,0,0,726,20,1175.29,62.4286,3.57143,0.0533107,42,0.857143,0.012133,0.0475151
AG,21,2,1,0,2,1,1,0,0,0,726,21,1195.57,45.2857,2.42857,0.0475151,44,0.142857,0.0026455,0.0590845
AG,22,2,1,0,2,1,1,0,0,0,726,22,1205,28.5714,1.71429,0.0590845,45.5714,0.285714,0.00925511,0.0468254
AG,23,3,1,2,2,1,2,0,0,0,726,23,1214.86,18.4286,0.857143,0.0468254,46,0,0,0.0928854
AG,24,3,1,2,2,1,2,0,0,0,726,24,1222.86,17.5714,1.57143,0.0928854,46,0,0,0.0679272
AG,25,3,1,2,2,1,2,0,0,1,726,25,1233.43,19.4286,1.28571,0.0679272,46,0,0,0.125262
