1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,8.57143,10.2857,1.57143,0.180839,0,0,0
11,24.5714,29.2857,2.85714,0.110423,0,0,0
12,129.429,146.143,28.5714,0.215828,0.428571,0.142857,0.000915751
13,323.857,328.143,18.8571,0.0599056,2.28571,0.285714,0.000904901
14,571.286,450,37.4286,0.083517,11.1429,1.28571,0.00292199
15,817.714,485.143,39,0.0800277,16.5714,0.857143,0.00177486
16,948.571,357.286,14.8571,0.0425625,22.4286,1,0.00276928
17,1035.43,203,7,0.0340787,30.2857,0.857143,0.00359674
18,1109.29,152.286,11,0.068141,33.4286,0.428571,0.00262128
19,1147.43,105.571,3.85714,0.0360273,36.5714,0.428571,0.00371857
20,1175.29,62.4286,3.57143,0.0533107,42,0.857143,0.012133
21,1195.57,45.2857,2.42857,0.0475151,44,0.142857,0.0026455
22,1205,28.5714,1.71429,0.0590845,45.5714,0.285714,0.00925511
23,1214.86,18.4286,0.857143,0.0468254,46,0,0
24,1222.86,17.5714,1.57143,0.0928854,46,0,0
25,1233.43,19.4286,1.28571,0.0679272,46,0,0
26,1253.14,33.8571,3.85714,0.125262,46.8571,0.142857,0.00510204
27,1317.57,92.1429,10,0.116861,47,0,0
28,1365.43,115,6.42857,0.0567201,47,0,0
29,1435,117.571,10.7143,0.0929313,47,0,0
30,1505,141.286,10.2857,0.0732584,47.5714,0.142857,0.000971817
31,1580.86,148,12.8571,0.0879358,48.7143,0.142857,0.000965251
32,1661.57,158.143,10.7143,0.0679935,50,0.142857,0.000958773
33,1765,190.143,17.8571,0.0941116,50,0,0
34,1892,238,18.8571,0.0795718,50.8571,0.142857,0.000621119
35,2038.29,277,22,0.0792678,52,0.142857,0.000555864
