1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0,0,0,0,0,0,0
11,0.571429,1.14286,0.285714,0.142857,0,0,0
12,5.42857,5.71429,0.571429,0.109524,0,0,0
13,10.2857,10.2857,1,0.0945166,0,0,0
14,17.7143,13,1.14286,0.0866212,0,0,0
15,23,12,0.428571,0.0338828,0,0,0
16,24,5.28571,0,0,0,0,0
17,24.5714,1.28571,0.142857,0.142857,0,0,0
18,25,1,0,0,0,0,0
19,25,0.285714,0,0,0,0,0
20,25,0,0,0,0,0,0
21,25,0,0,0,0,0,0
22,25,0,0,0,0,0,0
23,25,0,0,0,0,0,0
24,25,0,0,0,0,0,0
25,25,0,0,0,0,0,0
26,25,0,0,0,0,0,0
27,25,0,0,0,0,0,0
28,25,0,0,0,0,0,0
29,25,0,0,0,0,0,0
30,25,0,0,0,0,0,0
31,25,0,0,0,0,0,0
32,25,0,0,0,0,0,0
33,25,0,0,0,0,0,0
34,25,0,0,0,0,0,0
35,25,0,0,0,0,0,0
