1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0.571429,0.857143,0.142857,0.142857,0,0,0
11,3.71429,4.14286,0.571429,0.157143,0,0,0
12,9.28571,12,0.857143,0.0857143,0.285714,0.142857,0.0142857
13,39.4286,38.1429,5.28571,0.154104,1.85714,0.142857,0.00446429
14,61.5714,51.4286,2.71429,0.0530822,2.71429,0.142857,0.00269541
15,73.5714,32.5714,1.42857,0.0433802,3,0,0
16,80.1429,17,0.714286,0.0415249,3,0,0
17,87.2857,13.5714,0.857143,0.0568045,3,0,0
18,95.1429,14.2857,1.28571,0.090538,3,0,0
19,97,8.71429,0,0,3,0,0
20,98.4286,3,0.285714,0.0833333,3,0,0
21,99,1.85714,0,0,3,0,0
22,99.4286,1,0.142857,0.142857,3,0,0
23,100,1,0,0,3,0,0
24,100,0.428571,0,0,3,0,0
25,100,0,0,0,3,0,0
26,100.571,0.857143,0.142857,0.142857,3,0,0
27,103.286,3.57143,0.428571,0.142857,3,0,0
28,104.571,4,0.142857,0.0357143,3,0,0
29,106.429,3,0.285714,0.0833333,3,0,0
30,107.429,2.71429,0.142857,0.047619,3,0,0
31,108.429,2.14286,0.142857,0.0714286,3,0,0
32,110,2.85714,0.142857,0.047619,3,0,0
33,115.714,8.14286,1.14286,0.165079,3,0,0
34,124.857,15.7143,1.28571,0.0906162,3,0,0
35,131,14.5714,0.714286,0.0456183,3,0,0
