1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,10.1429,14.4286,2.14286,0.211485,0,0,0
11,34,45.5714,2.42857,0.0714286,0,0,0
12,276.286,311.429,54.8571,0.226842,1.71429,0.428571,0.00191299
13,652.714,656.857,54.2857,0.0852085,7.28571,1,0.0016098
14,987.143,710.857,48.4286,0.0686289,22,2.57143,0.00361186
15,1322.43,659.286,43.4286,0.0657161,39.1429,3,0.00456591
16,1524,509.714,22.5714,0.0457121,58.7143,2.85714,0.00590117
17,1666.29,319,16.4286,0.0521361,79.1429,2,0.00595286
18,1755.71,219.857,11,0.051683,85.7143,1,0.00505149
19,1811.71,135.429,5.85714,0.0460731,90.5714,0.285714,0.00242131
20,1848.14,85.8571,4,0.0478742,94.4286,0.571429,0.0065152
21,1871,56.2857,3,0.0552513,96,0,0
22,1889.86,41.8571,4.14286,0.0863121,96.2857,0.142857,0.00285714
23,1914.14,41.7143,1.14286,0.0280168,97,0,0
24,1923,30.2857,1.28571,0.0441803,97,0,0
25,1927,11.7143,0,0,97,0,0
26,1928,4.85714,0.571429,0.142857,97,0,0
27,1945.29,22.1429,4,0.200111,97,0,0
28,1972.86,48,4.57143,0.090744,97,0,0
29,2014.86,73.2857,7.14286,0.0948263,97,0,0
30,2056,84.1429,4.42857,0.0514319,97,0,0
31,2106.43,93.4286,10.1429,0.105508,97,0,0
32,2176,123.143,8.57143,0.068108,97.2857,0.142857,0.00109051
33,2257.71,157.286,15.1429,0.0937863,98,0,0
34,2354.57,183.571,12.5714,0.0683314,98.1429,0.142857,0.000707214
35,2465.14,210.143,18.8571,0.0895211,99,0,0
