1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,7.42857,10,2.42857,0.191479,0.142857,0.142857,0.00714286
11,33.8571,40.8571,5,0.117504,1.71429,0.142857,0.0054945
12,167.143,189.429,33.5714,0.179146,2.42857,0.142857,0.000535046
13,407.143,399.143,31.7143,0.0761159,4.71429,0.428571,0.00112281
14,607,428,22.7143,0.0529793,13.1429,1.85714,0.00447342
15,710.714,279.286,10,0.0373359,21,0.571429,0.0022794
16,778.286,159,9,0.0563741,24.8571,0.285714,0.00153003
17,811.714,92.8571,1.85714,0.0193321,27.5714,0.714286,0.00836386
18,823,38.2857,1.71429,0.0497014,30.8571,0.285714,0.00952381
19,832.143,20.1429,1.14286,0.056225,33.1429,0.285714,0.0140123
20,837.143,12.7143,0.285714,0.0238095,34.1429,0.142857,0.0142857
21,838,4.71429,0,0,35,0,0
22,839.571,2.85714,0.571429,0.159524,35,0,0
23,844.143,6.42857,0.428571,0.0727891,35,0,0
24,845.714,5.57143,0.142857,0.0238096,35,0,0
25,847.286,3.28571,0.428571,0.119048,35,0,0
26,852.714,8.28571,1.28571,0.139835,35,0,0
27,863.143,17.1429,1.57143,0.0858276,35,0,0
28,879.714,28.5714,2.85714,0.099556,35,0,0
29,898,34.4286,1.71429,0.0481588,35,0,0
30,907.857,27,1.85714,0.0682972,35,0,0
31,920.714,23.5714,1.85714,0.079105,35,0,0
32,940.571,33.1429,2.57143,0.0747628,35,0,0
33,961,42.8571,4.28571,0.0982918,35,0,0
34,992.429,54,4.71429,0.0848685,35,0,0
35,1024.71,63.4286,4.42857,0.0692559,35,0,0
