1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,10.7143,14.5714,3.28571,0.241497,0,0,0
11,67.8571,83.5714,10.8571,0.140277,0.571429,0.142857,0.00156986
12,233,251.429,36.5714,0.15017,4.28571,0.571429,0.00309222
13,493,443.429,35.5714,0.0800656,10.1429,1.42857,0.00321334
14,711.571,471.429,26.2857,0.0553305,19.8571,1.57143,0.00342738
15,838.286,323.429,12.5714,0.0397085,31,1,0.00292085
16,909.571,177.857,7.14286,0.0396215,36.8571,1,0.00601243
17,932.714,83.4286,1.85714,0.0256194,44.8571,0.857143,0.00870954
18,949.143,36.2857,2.28571,0.0658641,49.1429,0.571429,0.0144058
19,963.571,30.7143,1.71429,0.0552633,50,0,0
20,971.571,20.5714,0.857143,0.0411167,50,0,0
21,975.571,10.5714,0.285714,0.0231911,50,0,0
22,976.857,5,0.285714,0.0714286,50,0,0
23,980,4.71429,0.571429,0.119048,50,0,0
24,982.857,5.85714,0.142857,0.0204081,50,0,0
25,984.143,3.85714,0.285714,0.0761904,50,0,0
26,985,2,0,0,50,0,0
27,986.857,3.14286,0.714286,0.17619,50,0,0
28,999.429,17.1429,2.57143,0.15047,50,0,0
29,1018.29,33.1429,2.42857,0.0737576,50,0,0
30,1032.57,32.1429,1.57143,0.0471887,50.7143,0.285714,0.00968801
31,1051.14,34.8571,4.57143,0.127359,52,0,0
32,1078.86,47.1429,2.42857,0.0511744,52,0,0
33,1111,63.5714,7.85714,0.120526,52.8571,0.142857,0.0025974
34,1164.14,88.5714,6.14286,0.0696153,53,0,0
35,1197.71,82.8571,4.28571,0.0538655,53.2857,0.142857,0.00195694
