1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,169.143,221.857,41.5714,0.19645,0.571429,0.285714,0.000851151
11,1200.71,1541.71,261.857,0.179605,9.42857,2.85714,0.0016212
12,5811.57,6558.43,905.429,0.150068,69.8571,13.7143,0.00213048
13,12999.3,12464,1044.43,0.0858733,253,38,0.0030096
14,19741.3,13785.3,878.286,0.0632364,637,62.1429,0.00450535
15,24498.7,10965.4,564.143,0.0506135,1050.14,55.4286,0.00506679
16,27075.9,6785.14,280.857,0.0418707,1377.57,41.7143,0.0062608
17,28632.4,3809,173.714,0.0455218,1640.57,31.4286,0.00813532
18,29635.6,2389.43,120.143,0.0492517,1793.29,16.4286,0.00676367
19,30189.1,1448,59.8571,0.0412252,1870.71,9.28571,0.00657363
20,30536,832.286,40.7143,0.0478462,1916.14,4,0.00481205
21,30749.3,521.429,25.2857,0.0472953,1939,2.42857,0.00445157
22,30882.3,329.714,20,0.0613279,1950.29,1.14286,0.0032777
23,31010.9,257,15.1429,0.0594514,1952.14,0.142857,0.000555864
24,31124.4,240.286,17.2857,0.072563,1956.57,0.714286,0.00304595
25,31277.9,275.857,24,0.0878654,1960.29,0.428571,0.00162379
26,31520.7,430.143,44.5714,0.10557,1963.71,0.428571,0.00120215
27,32070.3,861.429,94.4286,0.114115,1965,0.142857,0.00023116
28,32677.3,1191.86,84.2857,0.0713178,1967.43,0.428571,0.000374051
29,33350.9,1286.71,99.2857,0.0773848,1969.29,0.285714,0.000226049
30,34113,1471.43,116.714,0.0800043,1976.14,1.28571,0.000889346
31,35129.7,1837.43,164.571,0.0906328,1981.29,0.571429,0.000305009
32,36168.7,2085.86,143.286,0.068949,1986.57,0.857143,0.000412357
33,37494.4,2428.86,219.143,0.0909728,1992.57,1,0.000408171
34,39182.9,3123.14,259.571,0.083763,2000.29,0.857143,0.000288058
35,41134.4,3701.86,296.857,0.0802694,2006.86,1.14286,0.000310842
