1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,4.85714,6.14286,1,0.192641,0,0,0
11,23.5714,28,4.57143,0.167693,0,0,0
12,116.429,136.143,23.1429,0.168975,1,0.428571,0.00242858
13,330.714,338.143,34.2857,0.102332,10,1.71429,0.00516835
14,562.571,450.571,32.4286,0.0716416,27.7143,3.57143,0.00785889
15,776.571,434.286,25.2857,0.0578764,47.4286,2,0.00468718
16,914.429,340.143,19.1429,0.0578211,63.8571,2.42857,0.0071569
17,1012.43,218.857,7.57143,0.0346305,75.2857,0.857143,0.00372231
18,1068.29,144.143,9.14286,0.0652426,78.2857,0.285714,0.0020868
19,1113.14,97.2857,4.14286,0.0428057,80.7143,0.571429,0.00610847
20,1141.29,66.7143,3,0.0413234,83.7143,0.142857,0.00195694
21,1151.29,35.5714,1.14286,0.0344482,84,0,0
22,1157.71,14.2857,0.571429,0.0386534,84,0,0
23,1163.71,13,1.28571,0.102551,84,0,0
24,1175.43,18.5714,1.85714,0.100411,84,0,0
25,1185.57,21.4286,1.42857,0.0646613,84,0,0
26,1205.86,33.2857,4.14286,0.121284,84.8571,0.142857,0.00492611
27,1235.57,53.2857,4.42857,0.078844,85,0,0
28,1260.71,53.7143,2.85714,0.0536256,85,0,0
29,1283,47,3.71429,0.0799223,85,0,0
30,1312.29,51,3.28571,0.0644028,85,0,0
31,1340.14,58.4286,5.42857,0.0902111,85,0,0
32,1371.43,60.8571,3.71429,0.0599734,85,0,0
33,1405.57,65.4286,5.85714,0.0893998,85,0,0
34,1475.71,119.143,17.8571,0.136695,85,0,0
35,1615.43,222.143,18.4286,0.081857,85,0,0
