1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,25.5714,32.5714,5,0.149577,0,0,0
11,201.143,266,55,0.203192,1.71429,0.571429,0.00245396
12,1019.86,1137.14,145,0.13645,7.14286,0.857143,0.00074501
13,2056.29,1948.29,155,0.0799767,28.4286,5.42857,0.00273531
14,3377.71,2386.29,192,0.0806066,85.5714,9.28571,0.00389833
15,4328.14,2191.29,92.7143,0.0406585,158,10.5714,0.00480795
16,4745.29,1237.14,50.1429,0.040419,209.143,5.42857,0.00454334
17,4998.57,612.429,26.4286,0.0420566,245.143,4.57143,0.0074603
18,5124.14,343,13.8571,0.0394554,265.429,2.14286,0.00655643
19,5184,167,6.42857,0.0385478,279.286,1.85714,0.0116622
20,5224.29,92.4286,4.85714,0.050992,286.857,0.571429,0.00664905
21,5247,59.2857,2.71429,0.0441726,291.714,0.571429,0.00915796
22,5263,37,2.42857,0.0666478,294,0.142857,0.00348431
23,5277.86,29.8571,1.57143,0.0531571,294,0,0
24,5286.14,21.7143,1,0.0496629,294.714,0.142857,0.00621119
25,5294.57,16.5714,1.57143,0.0915532,295,0,0
26,5308.43,23.7143,1.85714,0.0805302,295,0,0
27,5328,35.2857,3.28571,0.0961888,295,0,0
28,5357.71,51.8571,5.14286,0.101253,295,0,0
29,5418.86,100.571,11.4286,0.116911,295,0,0
30,5571.29,245.143,30.4286,0.129934,295,0,0
31,5863.29,471,43.2857,0.0956519,295.429,0.142857,0.000286861
32,6104,530,33.8571,0.0640047,296,0,0
33,6359.71,492.286,34.7143,0.0703694,296.286,0.142857,0.000297619
34,6590.71,483,32.2857,0.0664984,297,0,0
35,6822.43,467,38.5714,0.0824317,297,0,0
