1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0,0,0,0,0,0,0
11,4.14286,5.57143,1.42857,0.30119,0,0,0
12,18,21,2.71429,0.118472,0,0,0
13,41.5714,38.8571,3,0.0768125,0.285714,0.142857,0.00357143
14,57.2857,38,1.85714,0.0491173,2,0.142857,0.00348431
15,73.5714,33.2857,4,0.102216,2,0,0
16,105.429,49.5714,2.85714,0.0582064,2.57143,0.142857,0.00291546
17,117.143,40.4286,1.28571,0.0314297,6.28571,0.571429,0.013116
18,121.714,13.2857,0.285714,0.0178571,9.57143,0.571429,0.040523
19,124.429,7,0.571429,0.077381,12,0.142857,0.0204081
20,127.571,5.85714,0.285714,0.0476191,12,0,0
21,128,2.85714,0,0,12,0,0
22,128,0.285714,0,0,12,0,0
23,128,0,0,0,12,0,0
24,128,0,0,0,12,0,0
25,128,0,0,0,12.7143,0.142857,0
26,128.714,0.857143,0.142857,0.142857,13,0,0
27,129,1,0,0,13,0,0
28,130.429,1.85714,0.285714,0.214286,13,0,0
29,134,5.71429,0.714286,0.108843,13,0,0
30,137.571,7.14286,0.285714,0.0382653,13,0,0
31,139.429,5.14286,0.428571,0.0857143,13,0,0
32,143.857,6.71429,0.571429,0.085034,13,0,0
33,148.857,9.71429,0.714286,0.070707,13,0,0
34,155,11.8571,1,0.0902598,13,0,0
35,162.429,13.2857,0.857143,0.0600733,13,0,0
