1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,13.5714,14.8571,1.71429,0.128768,0,0,0
11,42,47,7.57143,0.151274,0,0,0
12,180.429,196.429,30.4286,0.157255,2.28571,0.571429,0.0033629
13,422.429,404.571,33.5714,0.0836186,9,1.57143,0.00380459
14,610,419.286,21.2857,0.0503511,27,2.57143,0.0060091
15,714.286,268.429,11.2857,0.0428015,35.4286,0.428571,0.00144536
16,763.857,138.286,4.42857,0.0346099,38.8571,0.714286,0.00545939
17,794,72.7143,3.42857,0.0467524,43.2857,0.428571,0.00542933
18,812.286,44.7143,2,0.0414151,45,0.142857,0.00255101
19,818.143,21.5714,0.571429,0.0269841,45.7143,0.285714,0.0181319
20,822.143,9.14286,0.428571,0.0431457,47.7143,0.285714,0.0337301
21,825.143,6.71429,0.428571,0.0620749,49,0,0
22,826.857,4.28571,0.142857,0.0285714,49,0,0
23,827.714,2.42857,0.142857,0.047619,49,0,0
24,828.571,1.71429,0.142857,0.0714286,50,0.142857,0.142857
25,829,1.28571,0,0,50,0,0
26,831.429,3.42857,0.714286,0.185714,50,0,0
27,837,8.57143,0.714286,0.086848,50,0,0
28,844,13.1429,1.28571,0.0956138,50,0,0
29,851.429,14.5714,0.714286,0.0489796,50,0,0
30,881.714,44.5714,8,0.170212,50,0,0
31,921.286,71.8571,3.28571,0.0455264,50,0,0
32,936.857,48.7143,1.14286,0.0259724,50,0,0
33,948,25.1429,1.71429,0.0674279,50,0,0
34,968,33.5714,3.85714,0.114747,50,0,0
35,993.429,46.8571,3.14286,0.0676985,50,0,0
