1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,3.28571,4.14286,0.571429,0.171429,0,0,0
11,12.4286,14.2857,2,0.141365,0,0,0
12,40.1429,42.2857,6,0.143435,0,0,0
13,100.429,93.8571,9.42857,0.102614,0,0,0
14,146.429,105.143,4.71429,0.0444586,0,0,0
15,176.571,70.5714,3.28571,0.0437923,1.57143,0.428571,0.0062726
16,188.714,38.7143,1.28571,0.0325956,3.28571,0.285714,0.00921659
17,195.714,16.4286,0.571429,0.0262605,6,0.142857,0.00595239
18,197.429,7.42857,0.285714,0.0362811,7,0.142857,0.0119048
19,201,5.71429,0.571429,0.109524,7,0,0
20,202,4.28571,0,0,7,0,0
21,203.429,2.14286,0.285714,0.142857,7,0,0
22,204.714,2.85714,0.142857,0.047619,7,0,0
23,205,1.28571,0,0,7,0,0
24,205.286,0.571429,0.142857,0.142857,7,0,0
25,206.286,1.57143,0.285714,0.0952381,7,0,0
26,210.714,6.42857,1.14286,0.136905,7,0,0
27,228.429,25.8571,4,0.139001,7,0,0
28,250.857,40.7143,1.71429,0.0414925,7,0,0
29,258.143,26.1429,0.428571,0.0143849,7,0,0
30,259,6.42857,0,0,7,0,0
31,259.857,1.42857,0.142857,0.0714286,7,0,0
32,260,1,0,0,7,0,0
33,261,1.28571,0.285714,0.142857,7,0,0
34,263.286,3.85714,0.428571,0.107143,7,0,0
35,266.714,5.71429,0.428571,0.0714287,7,0,0
