1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,66,88.2857,18.7143,0.216929,0.285714,0.142857,0.00109051
13,255,282.857,29.7143,0.110473,2.85714,0.571429,0.00195273
14,420.714,353.286,19.8571,0.0563016,7.14286,0.571429,0.00164399
15,539.857,268.857,14,0.0514665,9.28571,0.142857,0.000602773
16,602.857,168.857,7.14286,0.0436422,12.8571,0.714286,0.00433676
17,653.571,107.714,6.28571,0.0580736,15.4286,0.142857,0.001443
18,692,86,5,0.0563228,17,0.285714,0.00355399
19,709.857,51.5714,1.14286,0.0220072,18.5714,0.142857,0.00269541
20,716.429,21.8571,1.42857,0.0691609,19.4286,0.142857,0.00952381
21,730.857,20.8571,1.42857,0.0662298,20,0,0
22,734.571,16.5714,0.285714,0.0142857,20,0,0
23,735.143,3.42857,0.142857,0.047619,20,0,0
24,736.286,1.71429,0.285714,0.0952381,20,0,0
25,740.571,6.28571,0.857143,0.128571,20,0,0
26,747.857,12.5714,1.14286,0.0890235,20,0,0
27,763.571,24.4286,2.71429,0.114142,20,0,0
28,779.143,33.1429,2.71429,0.0776397,20,0,0
29,806.714,44.4286,4.14286,0.0939354,20,0,0
30,832.857,53.7143,3.14286,0.0572727,20,0,0
31,862.714,58.1429,5.28571,0.0907318,20,0,0
32,907.571,77.7143,6.57143,0.0854374,20.5714,0.142857,0.00185529
33,952,91.8571,6.57143,0.0713713,21,0,0
34,996.429,86.8571,4.85714,0.054646,21,0,0
35,1032.29,78.5714,5.85714,0.0745328,21,0,0
