1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,10.5714,14.2857,3.28571,0.215354,0,0,0
11,48.8571,58,7.14286,0.123934,0,0,0
12,161.857,169.571,20.2857,0.1264,2.42857,0.571429,0.00345152
13,298.571,259,18.5714,0.0731076,11.1429,2,0.00764519
14,427,258.429,16.7143,0.0632384,26,1.85714,0.00715981
15,538.857,236.286,17.1429,0.0720803,43.5714,3,0.0129031
16,616.714,182.286,7.28571,0.0389599,61,2,0.0108678
17,658,108.571,4.71429,0.0407376,72.7143,1.57143,0.0147055
18,682.571,60.7143,3.14286,0.049692,79.1429,0.571429,0.0100031
19,703.143,44.2857,3.28571,0.074766,81.5714,0.142857,0.0031746
20,716,31.4286,0.857143,0.0252835,82.4286,0.142857,0.00510204
21,722.429,16.7143,0.857143,0.0448592,83,0,0
22,725.286,8.85714,0.285714,0.0301587,83,0,0
23,730.286,8.42857,1,0.121599,83,0,0
24,735.714,10.4286,0.571429,0.0545455,83,0,0
25,739.857,9.14286,0.857143,0.097619,83,0,0
26,744.286,8.71429,0.285714,0.0337301,83,0,0
27,749.286,9.42857,0.857143,0.0904761,83,0,0
28,753.571,9.57143,0.571429,0.0607143,83,0,0
29,761.714,13,1.42857,0.119338,83,0,0
30,769.714,16.1429,1,0.06257,83,0,0
31,779.429,18.2857,1.85714,0.101471,83,0,0
32,790.571,21.8571,1.28571,0.060192,83.2857,0.142857,0.0064935
33,813,35.5714,4,0.11478,84,0,0
34,837.286,48.4286,3.57143,0.0754279,84,0,0
35,861.571,48.1429,4,0.0809568,84,0,0
