1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0,0,0,0,0,0,0
11,3.85714,5.28571,1.14286,0.185714,0,0,0
12,23.1429,27.2857,4,0.1535,0,0,0
13,48.7143,46.8571,3.28571,0.0699503,0,0,0
14,74,50,3,0.0582549,0,0,0
15,95.5714,46,3.42857,0.0740498,0.285714,0.142857,0.0031746
16,106.286,29.5714,0.571429,0.0189342,2.14286,0.285714,0.00986394
17,108.286,10.4286,0.285714,0.047619,3,0,0
18,112,5.57143,0.428571,0.0761904,3,0,0
19,114.143,6.14286,0.285714,0.0408163,3,0,0
20,120.714,9.14286,1.14286,0.134467,3,0,0
21,123,8.28571,0,0,3,0,0
22,123.286,1.85714,0.142857,0.142857,3,0,0
23,124,1,0,0,3,0,0
24,124,0.571429,0,0,3,0,0
25,124,0,0,0,3,0,0
26,124,0,0,0,3,0,0
27,124,0,0,0,3,0,0
28,125.143,1.42857,0.285714,0.214286,3,0,0
29,127,3.28571,0.285714,0.0833333,3,0,0
30,128,2.57143,0,0,3,0,0
31,128.571,1.42857,0.142857,0.0714286,3,0,0
32,130,2.28571,0.285714,0.119048,3,0,0
33,131,2.28571,0,0,3,0,0
34,131,0.714286,0,0,3,0,0
35,132.571,1.85714,0.285714,0.142857,3,0,0
