1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0,0,0,0,0,0,0
11,0.428571,0.571429,0.142857,0.142857,0,0,0
12,1,4.28571,0,0,0,0,0
13,31,33.5714,5.14286,0.185926,0,0,0
14,51.5714,49.2857,2.71429,0.0548226,0,0,0
15,61.2857,27.4286,0.857143,0.0265051,0,0,0
16,64.7143,11.8571,0.571429,0.047619,0,0,0
17,68.8571,8.42857,0.714286,0.0839001,0,0,0
18,77.5714,12.7143,1,0.0714286,0,0,0
19,79,9,0.142857,0.0119048,0,0,0
20,79,0.857143,0,0,0,0,0
21,81.2857,2.71429,0.428571,0.142857,0,0,0
22,82,3,0,0,0,0,0
23,82,0.285714,0,0,0,0,0
24,82,0,0,0,0,0,0
25,82,0,0,0,0,0,0
26,82,0.142857,0,0,0,0,0
27,83,1.14286,0.142857,0.142857,0,0,0
28,85.7143,4.14286,0.571429,0.157143,0,0,0
29,88,5,0.142857,0.0285714,0,0,0
30,89.8571,3.71429,0.285714,0.0476191,0,0,0
31,91.2857,3.42857,0.285714,0.0714286,0,0,0
32,93.7143,4.14286,0.285714,0.0714286,0,0,0
33,95,3.42857,0.142857,0.0285714,0,0,0
34,99.1429,5.85714,0.857143,0.145578,0,0,0
35,104.429,10.2857,0.714286,0.0701299,0,0,0
