1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,1.14286,1.42857,0.285714,0.214286,0,0,0
11,9.42857,11.2857,1.85714,0.12381,0,0,0
12,71.7143,94.5714,11.8571,0.15506,0,0,0
13,271.857,289.714,38.1429,0.147739,2.28571,0.714286,0.00238691
14,450.143,374.571,21.4286,0.0565062,7.85714,0.571429,0.00153994
15,599,315.857,19.1429,0.0596961,15.8571,1.71429,0.00551189
16,682,219.143,8,0.037175,24.4286,0.857143,0.00407642
17,735.429,126.571,8,0.0659107,29.8571,0.571429,0.00448539
18,780.286,94.2857,3.85714,0.0394353,32.7143,0.285714,0.00285714
19,795.571,53.2857,1.42857,0.0241644,33.8571,0.285714,0.0063492
20,802.286,19,0.714286,0.0308913,36,0.142857,0.005291
21,806.714,10.1429,0.571429,0.0448718,36,0,0
22,807.714,4.85714,0.142857,0.0238096,36.7143,0.142857,0.0238096
23,808.714,2,0.142857,0.0714286,37,0,0
24,810.429,2.85714,0.285714,0.0952381,37,0,0
25,817.429,10.1429,1.28571,0.116883,37.7143,0.142857,0.012987
26,827.286,18.7143,1.57143,0.0902761,38,0,0
27,858.286,45.5714,5.57143,0.1388,38,0,0
28,898.143,74.1429,5.71429,0.0809748,39,0.142857,0.00238096
29,928.143,67.1429,3.14286,0.0447954,39,0,0
30,963.714,66.1429,6,0.0901841,39.5714,0.142857,0.00223214
31,1003.86,77.2857,5.71429,0.0768053,40,0,0
32,1041.57,80.2857,6.71429,0.0844309,40,0,0
33,1110.57,112,12,0.10963,40,0,0
34,1190.43,149.571,10.2857,0.0691713,41,0.142857,0.000992063
35,1242.43,127.714,6.14286,0.0483614,41.5714,0.142857,0.00114286
