1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0,0,0,0,0,0,0
11,0.714286,1,0.142857,0.142857,0,0,0
12,14.1429,18.4286,4.14286,0.26329,0,0,0
13,36.4286,36.8571,1.57143,0.0428053,0,0,0
14,45.7143,28.4286,1.14286,0.0414966,0.857143,0.142857,0.00396826
15,52.4286,15.5714,1.14286,0.0732142,1,0,0
16,59.4286,13.4286,0.714286,0.054945,1,0,0
17,66.7143,14.7143,1.42857,0.090891,3.14286,0.571429,0.0410256
18,74.4286,14.4286,0.428571,0.027451,5.85714,0.142857,0.00952381
19,75.8571,8.14286,0.428571,0.0809524,6,0,0
20,78,3.28571,0,0,6,0,0
21,78,1.71429,0,0,6,0,0
22,78,0,0,0,6,0,0
23,78,0.142857,0,0,6,0,0
24,79,1.28571,0.142857,0.142857,7,0.142857,0.142857
25,81,2.85714,0.285714,0.0952381,7,0,0
26,81,2,0,0,7,0,0
27,83,2.28571,0.285714,0.142857,7,0,0
28,85.8571,5.28571,0.428571,0.0857143,7,0,0
29,96.8571,15.1429,2,0.148565,7,0,0
30,103.714,17.8571,0.714286,0.0398883,8,0.142857,0.00892857
31,113.857,17.5714,1.71429,0.096506,8,0,0
32,130.429,28.2857,2.57143,0.0973648,8,0,0
33,146.143,33,2.28571,0.0721255,8,0,0
34,159.143,27,1.28571,0.0411285,8,0,0
35,161.857,13.2857,0.285714,0.015735,8,0,0
