1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0.428571,0.571429,0.142857,0.142857,0,0,0
11,1,1,0,0,0,0,0
12,28.8571,41.7143,9.28571,0.142857,0,0,0
13,141.286,153.857,17.7143,0.124998,1.14286,0.285714,0.00214282
14,224.857,192.714,9.71429,0.0501399,2.71429,0.142857,0.000632111
15,285.429,139.143,8.14286,0.0604269,4.57143,0.571429,0.00431887
16,339.429,109.286,5.71429,0.0514932,8.71429,0.571429,0.0056437
17,370.286,80.1429,3.57143,0.0431235,12.5714,0.571429,0.00799797
18,388.143,46.4286,2.57143,0.0580019,15,0,0
19,404.571,33.2857,1.28571,0.038343,15,0,0
20,424.286,35.2857,2.85714,0.0761424,15,0,0
21,436.857,30.4286,1.71429,0.0530303,16,0.142857,0.00446429
22,439.571,13.7143,0.142857,0.010989,17,0.142857,0.00793651
23,444.571,7.57143,0.857143,0.108843,17,0,0
24,446.286,6.85714,0.285714,0.0357143,17,0,0
25,449.571,4.57143,0.428571,0.104762,17,0,0
26,452.286,6.42857,0.285714,0.0408163,17,0,0
27,462.143,14.4286,2.14286,0.155261,17,0,0
28,478.571,28.2857,1.85714,0.0702948,17,0,0
29,497.143,34.4286,2.71429,0.0777311,17,0,0
30,508,29,1.57143,0.0537793,18,0.142857,0.0047619
31,523.429,26.8571,2.14286,0.0799372,18,0,0
32,543.429,36.4286,3.14286,0.0924241,18,0,0
33,582.429,64.5714,7.14286,0.1196,18,0,0
34,634.571,93.2857,6.42857,0.0699829,18,0,0
35,670,87,6.28571,0.0726641,18,0,0
