1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,3.57143,4.42857,0.857143,0.214286,0,0,0
11,7.85714,8.85714,1,0.091575,0,0,0
12,13,8.57143,0,0,0,0,0
13,97.5714,106.143,16.4286,0.170778,0.571429,0.285714,0.00243518
14,154.143,147.286,6,0.0414174,4,0.428571,0.00305815
15,212.429,107.857,11.5714,0.107412,8.57143,0.857143,0.00839894
16,262.143,104.857,2.42857,0.0227467,13.5714,0.571429,0.00538707
17,282.286,62.4286,3.57143,0.0634773,16.2857,0.428571,0.00846384
18,299.429,36,1.57143,0.043158,20.1429,0.428571,0.0121628
19,305.286,20.1429,0.285714,0.0159151,22.5714,0.285714,0.0124224
20,306.571,5.57143,0.142857,0.0357143,23,0,0
21,307,1.57143,0,0,23,0,0
22,307,0.285714,0,0,23,0,0
23,307,0,0,0,23,0,0
24,307.571,0.714286,0.142857,0.142857,23,0,0
25,308.429,2.14286,0.142857,0.0714286,23,0,0
26,317.857,12.2857,2,0.211905,23,0,0
27,335.286,28.1429,2.71429,0.101144,23,0,0
28,354.571,37.5714,2.85714,0.0749352,23,0,0
29,371,35.5714,1.85714,0.0508747,23.5714,0.142857,0.00408163
30,381.714,25.5714,1.57143,0.0612957,24.8571,0.142857,0.005291
31,397.714,27.5714,2.71429,0.0987832,25,0,0
32,413.143,31.8571,1.85714,0.0576799,25,0,0
33,429.857,32.4286,2.57143,0.0791522,25,0,0
34,451.429,40,3.42857,0.0919771,25,0,0
35,479.286,50.1429,3.57143,0.0708583,25,0,0
