1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0.428571,0.571429,0.142857,0.142857,0,0,0
11,5.57143,7.85714,1.42857,0.188197,0,0,0
12,41.7143,50.4286,9.28571,0.193385,2.42857,0.428571,0.0135909
13,110,111.714,9,0.0806071,3.71429,0.428571,0.00328936
14,181.857,141,10.7143,0.0750089,6.85714,0.142857,0.0010582
15,251.571,142.429,10.2857,0.0714948,7.85714,0.142857,0.00102041
16,313,127.143,6.85714,0.0541609,11.1429,0.714286,0.00555081
17,350.143,91.7143,3.85714,0.0415394,14,0.428571,0.00565941
18,364.857,47.2857,1,0.0236461,17,0.142857,0.0021978
19,374.143,21,1.14286,0.0478354,17,0,0
20,377.571,11.5714,0.428571,0.0367966,17,0,0
21,379.286,4.71429,0.142857,0.0357143,17.7143,0.142857,0.0285714
22,381,3.42857,0.428571,0.107143,18,0,0
23,383,3.71429,0,0,18,0,0
24,384,2.57143,0.142857,0.0357143,18,0,0
25,384.714,1.71429,0.142857,0.0714286,18,0,0
26,389.143,6.42857,1.14286,0.180499,18,0,0
27,399.571,16.1429,1.57143,0.0978372,18,0,0
28,408,18.7143,1,0.0509011,18,0,0
29,422,24.4286,3,0.121595,18,0,0
30,443.571,37,2.85714,0.077377,18,0,0
31,461.286,38.1429,2.28571,0.0600348,18.7143,0.142857,0.003663
32,476.571,34,2.85714,0.0808822,19,0,0
33,510.571,51.8571,5.14286,0.10184,19,0,0
34,547,71.1429,4.85714,0.0680004,19,0,0
35,569.429,56.8571,3,0.0530012,19,0,0
