1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,24,32.1429,6.71429,0.236555,0,0,0
11,167.286,209.571,34.8571,0.172287,1.85714,0.857143,0.00349434
12,664.714,746,93.1429,0.133072,18.5714,4.42857,0.00549113
13,1482.57,1385.71,127.429,0.0954986,69.1429,8,0.00587644
14,2263.71,1569,95.8571,0.0605486,142.143,12,0.00765655
15,2711.57,1165.29,51.5714,0.0451567,216.714,9.57143,0.00829225
16,2956.43,631.857,23.2857,0.0385171,267,5.28571,0.00834333
17,3106,359.714,18.4286,0.0530599,297.286,3.57143,0.00979181
18,3203.43,234.286,10.5714,0.0455275,319.286,2.57143,0.0104171
19,3251,133.429,4.28571,0.0337916,332.857,2.28571,0.0181852
20,3274.71,63.8571,2.71429,0.0471303,340.857,0.285714,0.00534366
21,3295.86,43.5714,3,0.0651108,344.714,0.714286,0.0170845
22,3310.43,34.5714,1.42857,0.0424221,348,0.142857,0.00357143
23,3315.57,16.8571,0.142857,0.0119048,348.143,0.142857,0.0142857
24,3317.29,6.28571,0.714286,0.130952,349.429,0.142857,0.0285714
25,3323.29,8.28571,0.571429,0.0694444,350,0,0
26,3326.86,9.14286,0.285714,0.025974,350,0,0
27,3335.57,14.8571,2.71429,0.172167,350,0,0
28,3363,39.2857,3.42857,0.0952124,350,0,0
29,3385.86,51.5714,3.28571,0.0638286,350,0,0
30,3414.57,50.1429,3.42857,0.0624652,350,0,0
31,3429.86,42.4286,2.57143,0.0587701,350,0,0
32,3446,31,2,0.0666256,350,0,0
33,3461.71,31.2857,2.42857,0.0757065,350,0,0
34,3489.14,47.5714,4.85714,0.107984,350,0,0
35,3526.29,66.2857,4.71429,0.0737013,350,0,0
