1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,0,0,0,0,0,0,0
11,1.14286,1.42857,0.285714,0.142857,0,0,0
12,6.71429,9.57143,1.42857,0.161565,0,0,0
13,35.4286,38.4286,5.42857,0.158781,0,0,0
14,60.5714,53,2.42857,0.0452177,0.857143,0.285714,0.00587001
15,72.1429,33.8571,1.42857,0.0471478,3.42857,0.285714,0.00840336
16,78,15.4286,0.142857,0.00680271,4.57143,0.142857,0.00892857
17,78.2857,5.28571,0.285714,0.0571429,5,0,0
18,86.4286,9.57143,1.42857,0.165699,5.42857,0.142857,0.012987
19,91.5714,12.7143,0.285714,0.0211931,6.85714,0.142857,0.010989
20,92.2857,4.85714,0.142857,0.047619,7,0,0
21,93,1.28571,0,0,7,0,0
22,93,0.571429,0,0,7,0,0
23,93,0,0,0,7,0,0
24,93,0,0,0,7,0,0
25,93,0,0,0,7,0,0
26,93.4286,0.714286,0.142857,0.142857,7,0,0
27,101.714,10.1429,1.57143,0.1671,7,0,0
28,107.857,14.7143,0.571429,0.0394557,7,0,0
29,110.429,7.71429,0.285714,0.0408163,7,0,0
30,113.714,5.71429,0.571429,0.1,7,0,0
31,115.714,5.14286,0.142857,0.0285714,7,0,0
32,117,2.85714,0.142857,0.0285714,7,0,0
33,120.857,6.14286,0.857143,0.161224,7,0,0
34,128.286,12.1429,0.857143,0.0785715,7,0,0
35,135.571,14.1429,1.14286,0.0756802,7,0,0
