1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,13.2857,20.5714,5.71429,0.162535,0.428571,0.142857,0.0047619
11,296.286,402.714,75.1429,0.204734,2.85714,0.714286,0.00145647
12,1464.71,1656.29,201.286,0.134524,17.1429,2.85714,0.00181223
13,2912.29,2698.71,202.571,0.0764995,55.1429,8.28571,0.00302208
14,4010.43,2449.29,129,0.0513724,142.286,14.8571,0.00611343
15,4641.29,1602.29,73.1429,0.0442592,237.286,11,0.0067906
16,4981.43,889.286,35.7143,0.0383301,308.571,10.1429,0.0114644
17,5163.57,480.429,22.5714,0.0456699,368.857,7.57143,0.0157112
18,5280.86,278,14,0.0492536,404.429,3.57143,0.0127506
19,5354.71,179.286,8.85714,0.0483727,416.286,0.857143,0.00523778
20,5402.86,114.286,5.28571,0.0435352,421.143,0.285714,0.002574
21,5427,66.4286,3.42857,0.051591,422,0,0
22,5443.86,37.8571,1.71429,0.0463884,422,0,0
23,5457.29,29.7143,2.14286,0.0728986,422,0,0
24,5473.71,30.8571,2.42857,0.0785488,422,0,0
25,5499,44.5714,4,0.0925622,422.857,0.142857,0.00340136
26,5537.57,68.2857,6.42857,0.0967473,424,0.142857,0.00246306
27,5611.86,120,12.7143,0.111115,424,0,0
28,5696.71,164.143,12.1429,0.0749764,424,0,0
29,5786.71,175.857,13.2857,0.075602,424,0,0
30,5864.14,167.286,10.7143,0.0641888,424,0,0
31,5999.43,223,24,0.109534,424.429,0.142857,0.000605327
32,6133.29,274.286,16.2857,0.0596193,425,0,0
33,6280.57,283.857,25,0.0883771,426,0.428571,0.00146726
34,6544.29,446.857,48.1429,0.109617,429.857,0.285714,0.000824726
35,6960.71,714.143,65.5714,0.0931523,431.286,0.285714,0.000406487
