1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,5.71429,7.71429,1.42857,0.17433,0,0,0
11,58.7143,79.8571,14.7143,0.197706,0.571429,0.285714,0.00231807
12,361,418.429,60,0.160583,6.28571,1.28571,0.00306744
13,866.143,859,74.2857,0.089468,19.4286,2.85714,0.00319777
14,1315.29,939.857,54,0.0565166,45.7143,3.71429,0.00395828
15,1595.71,682.286,33.8571,0.0478517,76.4286,4.85714,0.00726698
16,1740.43,390.571,15.7143,0.0397597,98,2.28571,0.00637566
17,1822,208.429,8.85714,0.0412105,121.857,3.42857,0.0164749
18,1882.29,132.571,7.85714,0.0558834,137.286,1.57143,0.0120297
19,1911.71,83.4286,2.85714,0.0322837,146.286,0.857143,0.00947369
20,1927.57,40.7143,2.71429,0.0639592,150,0.285714,0.00539083
21,1938.57,25.2857,0.571429,0.0224654,152,0.285714,0.00921659
22,1946.14,17.4286,1.28571,0.0681552,152,0,0
23,1953.71,16.4286,1.42857,0.0834755,152,0,0
24,1971.71,26.8571,2.57143,0.101999,152.429,0.142857,0.0047619
25,1992,40,3.57143,0.0890606,153,0,0
26,2029.71,62.2857,6.28571,0.104262,153,0,0
27,2064.29,71.7143,3.85714,0.0537365,153,0,0
28,2082.86,49.1429,2.71429,0.0567513,153,0,0
29,2102.29,36.8571,2,0.0516523,153,0,0
30,2115.29,31.5714,1.85714,0.05625,153,0,0
31,2140.14,40.5714,4.71429,0.119133,153,0,0
32,2172.71,61.8571,5,0.0832354,153,0,0
33,2221.43,84,7.71429,0.0934492,153.429,0.142857,0.00168067
34,2277.71,108.571,9,0.0829684,154,0,0
35,2350.43,128.857,9.14286,0.0702348,154.571,0.142857,0.00105042
