1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,1.85714,3.28571,0.428571,0.238095,0,0,0
11,11.2857,12.7143,1.42857,0.134965,0,0,0
12,39,40.4286,5.71429,0.150632,0,0,0
13,84,79.7143,6.85714,0.0891505,0.285714,0.142857,0.00162337
14,130.286,92.2857,6.42857,0.0708756,1.28571,0.142857,0.0015361
15,162.857,73,3.14286,0.0401404,3.42857,0.428571,0.00627593
16,172,36.7143,1,0.0292836,5.85714,0.285714,0.0091278
17,178.143,14.1429,0.857143,0.0669807,7.85714,0.142857,0.0102041
18,187.286,15.2857,1.14286,0.0744297,8,0,0
19,191.714,12.5714,0.571429,0.0428571,8,0,0
20,196.429,9.28571,0.857143,0.0924603,8,0,0
21,199.714,8,0.428571,0.047619,8,0,0
22,202,4.71429,0,0,8.71429,0.142857,0.0285714
23,202,2,0,0,9,0,0
24,207.857,7.28571,1.28571,0.225397,9,0,0
25,214.571,12.8571,0.571429,0.0457876,9,0,0
26,218.857,10.5714,0.857143,0.0796537,9,0,0
27,229.571,16.7143,2,0.128922,9,0,0
28,243.571,25.4286,2.14286,0.084079,9,0,0
29,256.857,26.7143,1.28571,0.0443224,9,0,0
30,268.143,24.4286,1.71429,0.0656658,9,0,0
31,281.714,26.2857,2.42857,0.0930507,9,0,0
32,296,27.5714,1.28571,0.0438421,9,0,0
33,308.429,25.5714,2.14286,0.078818,9,0,0
34,320.143,25.5714,1.57143,0.0662371,9,0,0
35,340.714,31.8571,3,0.0917207,9,0,0
