1_Week_number,Total_cases,Active_infection,Daily_Infection,<Daily_cases/Active>,Total_death,Daily_death,<DDeath/Active>
10,23.4286,29,4.71429,0.17393,0,0,0
11,140.429,176.143,30,0.176402,0.142857,0.142857,0.00045208
12,658.571,735.429,104,0.151351,3.14286,0.714286,0.00088129
13,1450.57,1382.14,106.286,0.0783904,13.2857,2.28571,0.00159812
14,2220.71,1562.86,108.286,0.0684105,38.1429,4.28571,0.00274126
15,2823.86,1319.71,71.8571,0.0531301,66.7143,3.85714,0.00293466
16,3118.71,824.857,33.5714,0.0419212,95.1429,3.71429,0.00449359
17,3315,456.286,22.8571,0.0510904,111.857,1.42857,0.00304483
18,3442.86,301.714,13.2857,0.0419739,121.571,1.14286,0.00337292
19,3509.29,180.286,8.71429,0.0481053,124.857,0.428571,0.00234601
20,3548.43,98.2857,3.85714,0.0395424,126.429,0.142857,0.0015873
21,3570.71,54.4286,2.42857,0.0426073,128.857,0.428571,0.00818554
22,3592.43,44,4,0.0897741,130,0,0
23,3616.14,46.5714,3.28571,0.067188,130,0,0
24,3632.71,39.7143,2.14286,0.05446,130,0,0
25,3668.14,54.1429,6,0.110772,130,0,0
26,3719,94.2857,10.2857,0.10581,130,0,0
27,3870,224.286,26.4286,0.11919,131,0.142857,0.00104275
28,4023.86,312.857,19.4286,0.0623913,132.429,0.285714,0.000909919
29,4167.14,290.143,21.1429,0.0733984,133.714,0.142857,0.000527149
30,4320.29,299,21,0.0701295,135.429,0.285714,0.00095457
31,4484.14,321.429,26.4286,0.0821305,136,0,0
32,4668.57,359.714,29.2857,0.0812505,137.429,0.285714,0.000833694
33,4972.29,515.143,51.5714,0.101626,139,0.142857,0.000318877
34,5371.14,728.286,60.5714,0.0835499,139.429,0.142857,0.00018797
35,5824.57,869.714,71.4286,0.0813259,141.143,0.285714,0.000345716
